"Group","Method","Route","Policy","Audited","AuditAction","Redaction","Status","Line"
"auth","GET","/api/v1/auth/me","AuthorizationPolicies.ResourceReporter","Yes","AUTH / LOGIN_SUCCESS","TBD","In Progress","1567"
"auth","POST","/api/v1/auth/audit/login","AuthorizationPolicies.ResourceReporter","Yes","AUTH / LOGIN_SUCCESS","TBD","In Progress","1596"
"auth","POST","/api/v1/auth/audit/logout","AuthorizationPolicies.ResourceReporter","Yes","AUTH / LOGOUT","TBD","In Progress","1618"
"auth","GET","/api/v1/auth/token-debug","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","1640"
"agent","GET","/api/v1/agent/history","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","1724"
"agent","POST","/api/v1/agent/chat/completions","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","1756"
"agent","GET","/api/v1/agent/planning/predictive-demand-supply","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","1891"
"agent","GET","/api/v1/agent/planning/predictive-demand-supply/operational-acceptance","AuthorizationPolicies.ResourceReporter","Yes","AGENT_POLICY / PERSONALIZATION_POLICY_UPDATED","TBD","In Progress","1976"
"agent","GET","/api/v1/agent/personalization/policy","AuthorizationPolicies.IncidentViewer","Yes","AGENT_POLICY / PERSONALIZATION_POLICY_UPDATED","TBD","In Progress","2046"
"agent","GET","/api/v1/agent/personalization/policy/history","AuthorizationPolicies.IncidentViewer","Yes","AGENT_POLICY / PERSONALIZATION_POLICY_UPDATED","TBD","In Progress","2098"
"agent","PUT","/api/v1/agent/personalization/policy","AuthorizationPolicies.IncidentViewer","Yes","AGENT_POLICY / PERSONALIZATION_POLICY_UPDATED","TBD","In Progress","2138"
"agent","POST","/api/v1/agent/personalization","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2202"
"agent","POST","/api/v1/agent/analytics/events","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2231"
"alerts","GET","/api/v1/alerts/","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / DISPATCH_CREATE","TBD","In Progress","2291"
"alerts","POST","/api/v1/alerts/","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / DISPATCH_CREATE","TBD","In Progress","2307"
"alerts","POST","/api/v1/alerts/{alertId:long}/acknowledge","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / DISPATCH_CREATE","TBD","In Progress","2357"
"alerts","DELETE","/api/v1/alerts/{alertId:long}","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / DISPATCH_CREATE","TBD","In Progress","2381"
"alerts","DELETE","/api/v1/alerts/","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / DISPATCH_CREATE","TBD","In Progress","2405"
"alerts","POST","/api/v1/alerts/dispatch","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / DISPATCH_CREATE","TBD","In Progress","2421"
"alerts","GET","/api/v1/alerts/{notificationId:long}/recipients","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / RECIPIENT_STATUS_UPDATE","TBD","In Progress","2547"
"alerts","POST","/api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/status","AuthorizationPolicies.IncidentViewer","Yes","COMMUNICATION / RECIPIENT_STATUS_UPDATE","TBD","In Progress","2576"
"alerts","POST","/api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/acknowledge","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / RECIPIENT_ACKNOWLEDGE","TBD","In Progress","2650"
"alerts","POST","/api/v1/alerts/{notificationId:long}/escalate","AuthorizationPolicies.IncidentCommander","Yes","COMMUNICATION / NOTIFICATION_ESCALATE","TBD","In Progress","2715"
"incidents","GET","/api/v1/incidents/dashboard-summary","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2811"
"incidents","GET","/api/v1/incidents/","AuthorizationPolicies.IncidentCommander","TBD","TBD","TBD","Pending","2819"
"incidents","GET","/api/v1/incidents/{incidentId:long}","AuthorizationPolicies.IncidentCommander","TBD","TBD","TBD","Pending","2827"
"incidents","POST","/api/v1/incidents/","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2843"
"incidents","POST","/api/v1/incidents/{incidentId:long}","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2866"
"incidents","POST","/api/v1/incidents/{incidentId:long}/activate","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2888"
"incidents","POST","/api/v1/incidents/{incidentId:long}/close","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2904"
"incidents","GET","/api/v1/incidents/{incidentId:long}/tasks","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2920"
"incidents","POST","/api/v1/incidents/{incidentId:long}/tasks","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2936"
"incidents","POST","/api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/status","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","2967"
"incidents","POST","/api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/assignment","AuthorizationPolicies.IncidentViewer","Yes","COMMUNICATION / COMMUNICATION_EVIDENCE_EXPORT_CSV","TBD","In Progress","2997"
"incidents","GET","/api/v1/incidents/{incidentId:long}/timeline","AuthorizationPolicies.IncidentViewer","Yes","COMMUNICATION / COMMUNICATION_EVIDENCE_EXPORT_CSV","TBD","In Progress","3029"
"incidents","POST","/api/v1/incidents/{incidentId:long}/timeline","AuthorizationPolicies.IncidentViewer","Yes","COMMUNICATION / COMMUNICATION_EVIDENCE_EXPORT_CSV","TBD","In Progress","3045"
