"group","method","route","policy","line"
"admin","GET","/api/v1/admin/streaming/status","AuthorizationPolicies.LookupAdmin","5270"
"admin","POST","/api/v1/admin/streaming/start","AuthorizationPolicies.LookupAdmin","5277"
"admin","POST","/api/v1/admin/streaming/stop","AuthorizationPolicies.LookupAdmin","5308"
"admin","GET","/api/v1/admin/external-provider/executive-packet/automation/status","AuthorizationPolicies.LookupAdmin","5332"
"admin","POST","/api/v1/admin/external-provider/executive-packet/automation/run","AuthorizationPolicies.LookupAdmin","5341"
"admin","POST","/api/v1/admin/streaming/upload","AuthorizationPolicies.LookupAdmin","5384"
"admin","POST","/api/v1/admin/data/synthetic/reset","AuthorizationPolicies.LookupAdmin","5449"
"admin","POST","/api/v1/admin/data/synthetic/seed","AuthorizationPolicies.LookupAdmin","5603"
"admin","GET","/api/v1/admin/data/synthetic/preview","AuthorizationPolicies.LookupAdmin","5756"
"admin","GET","/api/v1/admin/users","AuthorizationPolicies.LookupAdmin","5840"
"admin","POST","/api/v1/admin/users","AuthorizationPolicies.LookupAdmin","5855"
"admin","POST","/api/v1/admin/users/{userId:long}/active","AuthorizationPolicies.LookupAdmin","5937"
"admin","GET","/api/v1/admin/locations","AuthorizationPolicies.LookupAdmin","5977"
"admin","POST","/api/v1/admin/locations/{locationId:long}/active","AuthorizationPolicies.LookupAdmin","5992"
"admin","POST","/api/v1/admin/locations/{locationId:long}/geo","AuthorizationPolicies.LookupAdmin","6032"
"admin","POST","/api/v1/admin/locations/{locationId:long}/geocode","AuthorizationPolicies.LookupAdmin","6090"
"admin","GET","/api/v1/admin/ics-positions","AuthorizationPolicies.LookupAdmin","6173"
"admin","POST","/api/v1/admin/ics-positions","AuthorizationPolicies.LookupAdmin","6188"
"admin","POST","/api/v1/admin/ics-positions/{icsPositionId:int}","AuthorizationPolicies.LookupAdmin","6258"
"admin","POST","/api/v1/admin/ics-positions/{icsPositionId:int}/nims-standard","AuthorizationPolicies.LookupAdmin","6338"
"admin","GET","/api/v1/admin/sessions","AuthorizationPolicies.LookupAdmin","6378"
"admin","POST","/api/v1/admin/sessions/{userSessionId:long}/terminate","AuthorizationPolicies.LookupAdmin","6393"
"admin","POST","/api/v1/admin/sessions/{userSessionId:long}/impersonate/start","AuthorizationPolicies.LookupAdmin","6433"
"admin","POST","/api/v1/admin/sessions/{userSessionId:long}/impersonate/stop","AuthorizationPolicies.LookupAdmin","6510"
"admin","GET","/api/v1/admin/sessions/compliance-evidence/export/json","AuthorizationPolicies.LookupAdmin","6574"
"agent","GET","/api/v1/agent/history","AuthorizationPolicies.ResourceReporter","1724"
"agent","POST","/api/v1/agent/chat/completions","AuthorizationPolicies.ResourceReporter","1756"
"agent","GET","/api/v1/agent/planning/predictive-demand-supply","AuthorizationPolicies.ResourceReporter","1891"
"agent","GET","/api/v1/agent/planning/predictive-demand-supply/operational-acceptance","AuthorizationPolicies.ResourceReporter","1976"
"agent","GET","/api/v1/agent/personalization/policy","AuthorizationPolicies.ResourceReporter","2046"
"agent","GET","/api/v1/agent/personalization/policy/history","AuthorizationPolicies.ResourceReporter","2098"
"agent","PUT","/api/v1/agent/personalization/policy","AuthorizationPolicies.ResourceReporter","2138"
"agent","POST","/api/v1/agent/personalization","AuthorizationPolicies.ResourceReporter","2202"
"agent","POST","/api/v1/agent/analytics/events","AuthorizationPolicies.ResourceReporter","2231"
"alerts","GET","/api/v1/alerts/","AuthorizationPolicies.IncidentViewer","2291"
"alerts","POST","/api/v1/alerts/","AuthorizationPolicies.IncidentViewer","2307"
"alerts","POST","/api/v1/alerts/{alertId:long}/acknowledge","AuthorizationPolicies.IncidentViewer","2357"
"alerts","DELETE","/api/v1/alerts/{alertId:long}","AuthorizationPolicies.IncidentViewer","2381"
"alerts","DELETE","/api/v1/alerts/","AuthorizationPolicies.IncidentViewer","2405"
"alerts","POST","/api/v1/alerts/dispatch","AuthorizationPolicies.IncidentViewer","2421"
"alerts","GET","/api/v1/alerts/{notificationId:long}/recipients","AuthorizationPolicies.IncidentViewer","2547"
"alerts","POST","/api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/status","AuthorizationPolicies.IncidentViewer","2576"
"alerts","POST","/api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/acknowledge","AuthorizationPolicies.IncidentViewer","2650"
"alerts","POST","/api/v1/alerts/{notificationId:long}/escalate","AuthorizationPolicies.IncidentViewer","2715"
"auth","GET","/api/v1/auth/me","","1567"
"auth","POST","/api/v1/auth/audit/login","","1596"
"auth","POST","/api/v1/auth/audit/logout","","1618"
"auth","GET","/api/v1/auth/token-debug","","1640"
"beds","POST","/api/v1/beds/import/availability","Endpoint-specific review required","7411"
"beds","POST","/api/v1/beds/import/availability/csv","Endpoint-specific review required","7473"
"beds","POST","/api/v1/beds/import/availability/csv/reject-report","Endpoint-specific review required","7549"
"beds","POST","/api/v1/beds/import/availability/fhir","Endpoint-specific review required","7590"
"beds","GET","/api/v1/beds/import/availability/fhir/adapter-contract","Endpoint-specific review required","7662"
"beds","GET","/api/v1/beds/availability","AuthorizationPolicies.ResourceReporter","7731"
"beds","POST","/api/v1/beds/availability/{locationId:long}","AuthorizationPolicies.ResourceReporter","7739"
"incidents","GET","/api/v1/incidents/dashboard-summary","AuthorizationPolicies.IncidentViewer","2811"
"incidents","GET","/api/v1/incidents/","AuthorizationPolicies.IncidentViewer","2819"
"incidents","GET","/api/v1/incidents/{incidentId:long}","AuthorizationPolicies.IncidentViewer","2827"
"incidents","POST","/api/v1/incidents/","AuthorizationPolicies.IncidentCommander","2843"
"incidents","POST","/api/v1/incidents/{incidentId:long}","AuthorizationPolicies.IncidentCommander","2866"
"incidents","POST","/api/v1/incidents/{incidentId:long}/activate","AuthorizationPolicies.IncidentCommander","2888"
"incidents","POST","/api/v1/incidents/{incidentId:long}/close","AuthorizationPolicies.IncidentCommander","2904"
"incidents","GET","/api/v1/incidents/{incidentId:long}/tasks","AuthorizationPolicies.IncidentViewer","2920"
"incidents","POST","/api/v1/incidents/{incidentId:long}/tasks","Endpoint-specific review required","2936"
"incidents","POST","/api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/status","Endpoint-specific review required","2967"
"incidents","POST","/api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/assignment","Endpoint-specific review required","2997"
"incidents","GET","/api/v1/incidents/{incidentId:long}/timeline","AuthorizationPolicies.IncidentViewer","3029"
"incidents","POST","/api/v1/incidents/{incidentId:long}/timeline","Endpoint-specific review required","3045"
"incidents","GET","/api/v1/incidents/{incidentId:long}/communications","AuthorizationPolicies.IncidentViewer","3076"
"incidents","GET","/api/v1/incidents/{incidentId:long}/communications/lifecycle-summary","Endpoint-specific review required","3092"
"incidents","GET","/api/v1/incidents/{incidentId:long}/communications/evidence/export/csv","Endpoint-specific review required","3121"
"incidents","POST","/api/v1/incidents/{incidentId:long}/communications","Endpoint-specific review required","3267"
"incidents","POST","/api/v1/incidents/{incidentId:long}/communications/{incidentCommunicationId:long}","Endpoint-specific review required","3326"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources","AuthorizationPolicies.IncidentViewer","3356"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources/lifecycle-summary","AuthorizationPolicies.IncidentViewer","3372"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources/evidence/export/csv","Endpoint-specific review required","3388"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources/lifecycle-evidence/export/json","Endpoint-specific review required","3495"
"incidents","POST","/api/v1/incidents/{incidentId:long}/resources","Endpoint-specific review required","3635"
"incidents","POST","/api/v1/incidents/{incidentId:long}/resources/{incidentResourceRequestId:long}","Endpoint-specific review required","3666"
"incidents","GET","/api/v1/incidents/{incidentId:long}/operational-periods","AuthorizationPolicies.IncidentViewer","3758"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods","Endpoint-specific review required","3774"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}","Endpoint-specific review required","3805"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/approve","Endpoint-specific review required","3859"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/reopen","Endpoint-specific review required","3937"
"incidents","GET","/api/v1/incidents/{incidentId:long}/objectives","AuthorizationPolicies.IncidentViewer","4028"
"incidents","POST","/api/v1/incidents/{incidentId:long}/objectives","Endpoint-specific review required","4044"
"incidents","POST","/api/v1/incidents/{incidentId:long}/objectives/{incidentObjectiveId:long}","Endpoint-specific review required","4075"
"incidents","GET","/api/v1/incidents/{incidentId:long}/command-assignments","Endpoint-specific review required","4105"
"incidents","PUT","/api/v1/incidents/{incidentId:long}/command-assignments","Endpoint-specific review required","4143"
"incidents","DELETE","/api/v1/incidents/{incidentId:long}/command-assignments/{icsPositionId:int}","AuthorizationPolicies.IncidentCommander","4174"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-201","AuthorizationPolicies.IncidentViewer","4198"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-202","AuthorizationPolicies.IncidentViewer","4214"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-203","AuthorizationPolicies.IncidentViewer","4230"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-204","AuthorizationPolicies.IncidentViewer","4246"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-205","AuthorizationPolicies.IncidentViewer","4262"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-209","AuthorizationPolicies.IncidentViewer","4278"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-214","AuthorizationPolicies.IncidentViewer","4294"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-215","AuthorizationPolicies.IncidentViewer","4310"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet","AuthorizationPolicies.IncidentViewer","4326"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet/print","AuthorizationPolicies.IncidentViewer","4342"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet/export/json","Endpoint-specific review required","4364"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-packet/export/print","Endpoint-specific review required","4445"
"incidents","GET","/api/v1/incidents/{incidentId:long}/iap-governance/evidence/json","Endpoint-specific review required","4506"
"incidents","GET","/api/v1/incidents/{incidentId:long}/situation-reports","AuthorizationPolicies.IncidentViewer","4635"
"incidents","GET","/api/v1/incidents/{incidentId:long}/after-action/evidence/export/json","Endpoint-specific review required","4651"
"incidents","POST","/api/v1/incidents/{incidentId:long}/situation-reports","Endpoint-specific review required","4797"
"lookups","GET","/api/v1/lookups/ics-positions","AuthorizationPolicies.LookupViewer","4832"
"lookups","GET","/api/v1/lookups/codesets/{codeSetName}","AuthorizationPolicies.LookupViewer","6727"
"lookups","GET","/api/v1/lookups/codesets/{codeSetName}/search","AuthorizationPolicies.LookupViewer","6745"
"lookups","GET","/api/v1/lookups/locations","AuthorizationPolicies.LookupViewer","6769"
"lookups","POST","/api/v1/lookups/codesets/{codeSetName}","Endpoint-specific review required","6778"
"lookups","POST","/api/v1/lookups/codesets/{codeSetName}/{codeValueId:int}","Endpoint-specific review required","6812"
"reports","GET","/api/v1/reports/audit-events","AuthorizationPolicies.IncidentViewer","4845"
"reports","GET","/api/v1/reports/audit-events/export/csv","AuthorizationPolicies.IncidentViewer","4895"
"reports","GET","/api/v1/reports/external-provider-health/governance/export/csv","AuthorizationPolicies.IncidentViewer","4974"
"reports","GET","/api/v1/reports/external-provider-health/scorecards/export/csv","AuthorizationPolicies.IncidentViewer","5047"
"reports","GET","/api/v1/reports/external-provider-health/scorecards/export/json","AuthorizationPolicies.IncidentViewer","5110"
"reports","GET","/api/v1/reports/external-provider-health/executive-packet/export/zip","AuthorizationPolicies.IncidentViewer","5173"
"resources","POST","/api/v1/resources/import/inventory","Endpoint-specific review required","6845"
"resources","POST","/api/v1/resources/import/inventory/csv","Endpoint-specific review required","6907"
"resources","POST","/api/v1/resources/import/inventory/csv/reject-report","Endpoint-specific review required","6983"
"resources","GET","/api/v1/resources/inventory","AuthorizationPolicies.ResourceReporter","7024"
"resources","GET","/api/v1/resources/regional-rollups","AuthorizationPolicies.ResourceReporter","7032"
"resources","GET","/api/v1/resources/regional-rollups/export/csv","Endpoint-specific review required","7041"
"resources","POST","/api/v1/resources/inventory/{locationResourceInventoryId:long}","AuthorizationPolicies.ResourceReporter","7122"
"resources","GET","/api/v1/resources/report-presets/{presetScope}","AuthorizationPolicies.ResourceReporter","7144"
"resources","POST","/api/v1/resources/report-presets/{presetScope}","Endpoint-specific review required","7169"
"resources","DELETE","/api/v1/resources/report-presets/{presetScope}/{userReportPresetId:long}","Endpoint-specific review required","7233"
"users","GET","/api/v1/users/active","AuthorizationPolicies.LookupViewer","6709"
"users","GET","/api/v1/users/contacts","AuthorizationPolicies.LookupViewer","6718"
