"Line","Group","Method","Route"
"511","apiV1","GET","apiV1:system/readiness"
"531","apiV1","GET","apiV1:system/external-provider-health"
"567","apiV1","GET","apiV1:system/external-provider-health/history"
"586","apiV1","GET","apiV1:system/external-provider-health/history/warehouse"
"664","apiV1","GET","apiV1:system/external-provider-health/federation/summary"
"771","apiV1","GET","apiV1:system/external-provider-health/trends"
"887","apiV1","POST","apiV1:system/external-provider-health/alerts/evaluate"
"985","apiV1","GET","apiV1:system/external-provider-health/storage"
"1017","apiV1","POST","apiV1:system/external-provider-health/storage/rotate"
"1040","apiV1","GET","apiV1:agent/config/health"
"1322","apiV1","GET","apiV1:weatherforecast"
"1410","apiV1","GET","apiV1:cop/live-overlay"
"1505","apiV1","GET","apiV1:cop/live-overlay/contract"
"1528","apiV1","GET","apiV1:cop/live-overlay/external-readiness"
"1552","auth","GET","/auth/me"
"1581","auth","POST","/auth/audit/login"
"1603","auth","POST","/auth/audit/logout"
"1625","auth","GET","/auth/token-debug"
"1709","agent","GET","/agent/history"
"1741","agent","POST","/agent/chat/completions"
"1876","agent","GET","/agent/planning/predictive-demand-supply"
"1961","agent","GET","/agent/planning/predictive-demand-supply/operational-acceptance"
"2031","agent","GET","/agent/personalization/policy"
"2083","agent","GET","/agent/personalization/policy/history"
"2123","agent","PUT","/agent/personalization/policy"
"2187","agent","POST","/agent/personalization"
"2216","agent","POST","/agent/analytics/events"
"2276","alerts","GET","/alerts/"
"2292","alerts","POST","/alerts/"
"2342","alerts","POST","/alerts/{alertId:long}/acknowledge"
"2366","alerts","DELETE","/alerts/{alertId:long}"
"2390","alerts","DELETE","/alerts/"
"2406","alerts","POST","/alerts/dispatch"
"2532","alerts","GET","/alerts/{notificationId:long}/recipients"
"2561","alerts","POST","/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/status"
"2635","alerts","POST","/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/acknowledge"
"2700","alerts","POST","/alerts/{notificationId:long}/escalate"
"2796","incidents","GET","/incidents/dashboard-summary"
"2804","incidents","GET","/incidents/"
"2812","incidents","GET","/incidents/{incidentId:long}"
"2828","incidents","POST","/incidents/"
"2851","incidents","POST","/incidents/{incidentId:long}"
"2873","incidents","POST","/incidents/{incidentId:long}/activate"
"2889","incidents","POST","/incidents/{incidentId:long}/close"
"2905","incidents","GET","/incidents/{incidentId:long}/tasks"
"2921","incidents","POST","/incidents/{incidentId:long}/tasks"
"2952","incidents","POST","/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/status"
"2982","incidents","POST","/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/assignment"
"3014","incidents","GET","/incidents/{incidentId:long}/timeline"
"3030","incidents","POST","/incidents/{incidentId:long}/timeline"
"3061","incidents","GET","/incidents/{incidentId:long}/communications"
"3077","incidents","GET","/incidents/{incidentId:long}/communications/lifecycle-summary"
"3106","incidents","GET","/incidents/{incidentId:long}/communications/evidence/export/csv"
"3252","incidents","POST","/incidents/{incidentId:long}/communications"
"3311","incidents","POST","/incidents/{incidentId:long}/communications/{incidentCommunicationId:long}"
"3341","incidents","GET","/incidents/{incidentId:long}/resources"
"3357","incidents","GET","/incidents/{incidentId:long}/resources/lifecycle-summary"
"3373","incidents","GET","/incidents/{incidentId:long}/resources/evidence/export/csv"
"3480","incidents","GET","/incidents/{incidentId:long}/resources/lifecycle-evidence/export/json"
"3620","incidents","POST","/incidents/{incidentId:long}/resources"
"3651","incidents","POST","/incidents/{incidentId:long}/resources/{incidentResourceRequestId:long}"
"3743","incidents","GET","/incidents/{incidentId:long}/operational-periods"
"3759","incidents","POST","/incidents/{incidentId:long}/operational-periods"
"3790","incidents","POST","/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}"
"3844","incidents","POST","/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/approve"
"3922","incidents","POST","/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/reopen"
"4013","incidents","GET","/incidents/{incidentId:long}/objectives"
"4029","incidents","POST","/incidents/{incidentId:long}/objectives"
"4060","incidents","POST","/incidents/{incidentId:long}/objectives/{incidentObjectiveId:long}"
"4090","incidents","GET","/incidents/{incidentId:long}/command-assignments"
"4128","incidents","PUT","/incidents/{incidentId:long}/command-assignments"
"4159","incidents","DELETE","/incidents/{incidentId:long}/command-assignments/{icsPositionId:int}"
"4183","incidents","GET","/incidents/{incidentId:long}/ics-201"
"4199","incidents","GET","/incidents/{incidentId:long}/ics-202"
"4215","incidents","GET","/incidents/{incidentId:long}/ics-203"
"4231","incidents","GET","/incidents/{incidentId:long}/ics-204"
"4247","incidents","GET","/incidents/{incidentId:long}/ics-205"
"4263","incidents","GET","/incidents/{incidentId:long}/ics-209"
"4279","incidents","GET","/incidents/{incidentId:long}/ics-214"
"4295","incidents","GET","/incidents/{incidentId:long}/ics-215"
"4311","incidents","GET","/incidents/{incidentId:long}/iap-packet"
"4327","incidents","GET","/incidents/{incidentId:long}/iap-packet/print"
"4349","incidents","GET","/incidents/{incidentId:long}/iap-packet/export/json"
"4430","incidents","GET","/incidents/{incidentId:long}/iap-packet/export/print"
"4491","incidents","GET","/incidents/{incidentId:long}/iap-governance/evidence/json"
"4620","incidents","GET","/incidents/{incidentId:long}/situation-reports"
"4636","incidents","GET","/incidents/{incidentId:long}/after-action/evidence/export/json"
"4782","incidents","POST","/incidents/{incidentId:long}/situation-reports"
"4817","lookups","GET","/lookups/ics-positions"
"4830","reports","GET","/reports/audit-events"
"4880","reports","GET","/reports/audit-events/export/csv"
"4959","reports","GET","/reports/external-provider-health/governance/export/csv"
"5032","reports","GET","/reports/external-provider-health/scorecards/export/csv"
"5095","reports","GET","/reports/external-provider-health/scorecards/export/json"
"5158","reports","GET","/reports/external-provider-health/executive-packet/export/zip"
"5255","admin","GET","/admin/streaming/status"
"5262","admin","POST","/admin/streaming/start"
"5293","admin","POST","/admin/streaming/stop"
"5317","admin","GET","/admin/external-provider/executive-packet/automation/status"
"5326","admin","POST","/admin/external-provider/executive-packet/automation/run"
"5369","admin","POST","/admin/streaming/upload"
"5434","admin","POST","/admin/data/synthetic/reset"
"5588","admin","POST","/admin/data/synthetic/seed"
"5741","admin","GET","/admin/data/synthetic/preview"
"5825","admin","GET","/admin/users"
"5840","admin","POST","/admin/users"
"5922","admin","POST","/admin/users/{userId:long}/active"
"5962","admin","GET","/admin/locations"
"5977","admin","POST","/admin/locations/{locationId:long}/active"
"6017","admin","POST","/admin/locations/{locationId:long}/geo"
"6075","admin","POST","/admin/locations/{locationId:long}/geocode"
"6158","admin","GET","/admin/ics-positions"
"6173","admin","POST","/admin/ics-positions"
"6243","admin","POST","/admin/ics-positions/{icsPositionId:int}"
"6323","admin","POST","/admin/ics-positions/{icsPositionId:int}/nims-standard"
"6363","admin","GET","/admin/sessions"
"6378","admin","POST","/admin/sessions/{userSessionId:long}/terminate"
"6418","admin","POST","/admin/sessions/{userSessionId:long}/impersonate/start"
"6495","admin","POST","/admin/sessions/{userSessionId:long}/impersonate/stop"
"6559","admin","GET","/admin/sessions/compliance-evidence/export/json"
"6694","users","GET","/users/active"
"6703","users","GET","/users/contacts"
"6712","lookups","GET","/lookups/codesets/{codeSetName}"
"6730","lookups","GET","/lookups/codesets/{codeSetName}/search"
"6754","lookups","GET","/lookups/locations"
"6763","lookups","POST","/lookups/codesets/{codeSetName}"
"6797","lookups","POST","/lookups/codesets/{codeSetName}/{codeValueId:int}"
"6830","resources","POST","/resources/import/inventory"
"6892","resources","POST","/resources/import/inventory/csv"
"6968","resources","POST","/resources/import/inventory/csv/reject-report"
"7009","resources","GET","/resources/inventory"
"7017","resources","GET","/resources/regional-rollups"
"7026","resources","GET","/resources/regional-rollups/export/csv"
"7107","resources","POST","/resources/inventory/{locationResourceInventoryId:long}"
"7129","resources","GET","/resources/report-presets/{presetScope}"
"7154","resources","POST","/resources/report-presets/{presetScope}"
"7218","resources","DELETE","/resources/report-presets/{presetScope}/{userReportPresetId:long}"
"7396","beds","POST","/beds/import/availability"
"7458","beds","POST","/beds/import/availability/csv"
"7534","beds","POST","/beds/import/availability/csv/reject-report"
"7575","beds","POST","/beds/import/availability/fhir"
"7647","beds","GET","/beds/import/availability/fhir/adapter-contract"
"7716","beds","GET","/beds/availability"
"7724","beds","POST","/beds/availability/{locationId:long}"
