"TimestampUtc","TotalEndpoints","Closed","RequiresChanges","InReview","Pending","ReadyToClose","Overdue","EvidenceTotal","EvidenceInProgress","EvidenceApproved","EvidenceGaps"
"2026-07-14 11:28:52","120","0","25","44","51","0","0","120","120","0","0"
"2026-07-14 11:31:01","120","0","25","44","51","0","0","120","120","0","0"
"2026-07-14 11:31:42","120","0","25","44","51","0","0","120","120","0","0"
"2026-07-14 11:33:16","120","0","25","44","51","0","0","120","120","0","0"
"2026-07-14 11:35:12","120","0","25","44","51","0","0","120","120","0","0"
"2026-07-14 11:35:39","120","0","25","44","51","0","0","120","120","0","120"
"2026-07-14 11:37:36","120","0","25","44","51","0","0","120","120","0","120"
"2026-07-14 11:39:49","120","0","25","44","51","0","0","120","120","0","120"
"2026-07-14 11:41:54","120","10","15","44","51","10","0","120","110","10","110"
"2026-07-14 11:42:42","120","10","15","44","51","10","0","120","110","10","110"
"2026-07-14 11:44:16","120","25","0","44","51","25","0","120","95","25","95"
"2026-07-14 11:45:34","120","50","0","19","51","50","0","120","70","50","70"
"2026-07-14 11:46:56","120","75","0","0","45","75","0","120","45","75","45"
"2026-07-14 11:48:21","120","120","0","0","0","120","0","120","0","120","0"
